实例ID,最优目标值（Project Total Cost）,最优工作包划分
j401_1,1798.107944004294,"I1:[1]; I8:[8]; I12:[12]; A1:[2,3,4,5,6,7,13,14,15,16,21,23,26,28,29,30,31,32,33,34,35,36,37,38,39,41]; I19:[19]; I24:[24]; A2:[9,10,11,17,18,20,22,25,27,40]; I42:[42]"
j401_2,1867.5155141112232,"I1:[1]; A1:[2,3,4,5,6,8,13]; I14:[14]; A2:[7,9,10,11,12,17,18,24,25,26]; I23:[23]; I15:[15]; A4:[20]; A3:[16,19,21,22,28,31]; I32:[32]; A5:[27,29,30,33,34,35,36,37,38,39,40,41]; I42:[42]"
j401_3,1728.7222735161913,"I1:[1]; I3:[3]; A1:[2,4,5,6,7,9,10,12,13,15,16,17,23,26,29]; A2:[8]; I11:[11]; A3:[14,18,19,20,21,22,24,25,28,37,39,40]; I32:[32]; I27:[27]; A4:[30,31,33,34,35,36,38,41]; I42:[42]"
j401_4,1988.4300887612255,"I1:[1]; I10:[10]; I26:[26]; I27:[27]; A1:[2,3,4,6,7,9,11,13,15,16,17,24,25,28,39,41]; A2:[5,8,12,14,19,21,22,31,32,34,36,37,38,40]; I23:[23]; A3:[18,20,29,30,33,35]; I42:[42]"
j401_5,1866.0283776944098,"I1:[1]; A1:[2,3,4,6,7,8,10,11,12,13,16,18]; I5:[5]; I25:[25]; A2:[9,15,19,21,22,27,41]; I26:[26]; A3:[14,17,20,23,24,28,29,31,32,36,38,40]; I39:[39]; A4:[30,33,34,35,37]; I42:[42]"
j401_6,1907.785008003601,"I1:[1]; I5:[5]; A1:[2,3,6,7,9]; I4:[4]; A2:[8,10,11,12,13,14,17,18,22]; I15:[15]; A3:[16,19]; A4:[20,21,23,24,25,26,31]; I29:[29]; A5:[27,28,30,32,33,34,35,36,37,38,39,40,41]; I42:[42]"
j401_7,1776.3606645717146,"I1:[1]; A1:[2,3,4,5,6,7,8,9,11,13,14,15,17,25]; I12:[12]; I10:[10]; I41:[41]; I27:[27]; A2:[16,18,19,20,21,22,23,24,26,28,29,30,40]; A3:[31,32,33,34,35,36,37,38,39]; I42:[42]"
j401_8,1783.8536259282232,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,28,29,39,41]; I22:[22]; I35:[35]; I30:[30]; A2:[27,31,32,34,36,37,38,40]; I33:[33]; I42:[42]"
j401_9,1695.2244242639422,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,16,17,21,22,24]; I20:[20]; A2:[14,15,18,19,25,26,27,28,41]; I32:[32]; A3:[23,29,30,31,34,35,37,38,39,40]; I36:[36]; I33:[33]; I42:[42]"
j401_10,1821.416138608827,"I1:[1]; I15:[15]; A1:[2,3,4,5,6,7,8,9,10,12,13,14,19,21,23,25,28,41]; I16:[16]; I27:[27]; A2:[11,17,18,20,24,37,38,39]; A3:[22,26,29,30,31,32,33,34,35,36]; I40:[40]; I42:[42]"
j402_1,1978.0540466764687,"I1:[1]; I19:[19]; A1:[2,3,4,5,6,7,9,11,14,16]; I8:[8]; A2:[10,13,17,18,23,30,40]; I12:[12]; A3:[15,20,21,22,29,36,37,38,39,41]; I24:[24]; A4:[25,26,27,28,31,32,33,34,35]; I42:[42]"
j402_2,1848.4057992105982,"I1:[1]; I23:[23]; A1:[2,3,4,5,6,7,8,9,10,18,28,33,36,37,38,39,40,41]; I32:[32]; I14:[14]; A2:[11,12,13,16,29,31,34,35]; I15:[15]; A3:[17,19,20,21,22,24,25,26,27,30]; I42:[42]"
